file,route,role,published_exists,published_line,working_exists,working_line,state
website/app/[locale]/evidence/timothy-experiment/page.tsx,/fi/evidence/timothy-experiment,Timothy-vertailun lähdekoe ja alaosakokonaisuus,True,82,True,82,identical
website/app/[locale]/model/page.tsx,/fi/model#genetic-susceptibility,geenikartta ja sisäänvirtaus/poistuma/signaalintoisto,True,1538,True,1538,different
website/lib/vgccGeneFamily.ts,/fi/model#vgcc-gene-family,CACNA1D ja varianttikohtaiset sairaudet,True,61,True,61,different
website/app/[locale]/evidence/neurological-spectrum/page.tsx,/fi/evidence/neurological-spectrum,CACNA1A/FHM sekä kellopiiri,True,641,True,641,identical
website/app/[locale]/modulome/page.tsx,/fi/modulome,"kompartmentti, vastaanotintila, vaurio, korjaus",True,147,True,147,identical
website/app/[locale]/modulome/pancreas/page.tsx,/fi/modulome/pancreas,"KATP/DEND/CACNA1D/WFS1, erityksen ajoitus",True,24,True,24,identical
website/app/[locale]/modulome/brain/page.tsx,/fi/modulome/brain,kehityksellinen vs akuutti biologinen tila,True,56,True,56,different
website/app/[locale]/modulome/ear/page.tsx,/fi/modulome/ear,"CACNA1D/SANDD, sensorinen toiminto",True,26,True,26,identical
website/app/[locale]/modulome/heart/page.tsx,/fi/modulome/heart,CACNA1C/CACNA1D/RYR2 ja kuormituskynnys,True,24,True,24,identical
website/app/[locale]/modulome/bat/page.tsx,/fi/modulome/bat,ER-kalsiumkierto ja energia,True,30,True,30,identical
website/app/[locale]/modulome/hypothalamus/page.tsx,/fi/modulome/hypothalamus,LEP/TAC3/kello: portitus ja motivaatio,True,10,True,10,identical
website/app/[locale]/modulome/pituitary/page.tsx,/fi/modulome/pituitary,GnRH-pulssien välitys,True,10,True,10,different
website/app/[locale]/modulome/adrenal/page.tsx,/fi/modulome/adrenal,PASNA/aldosteronismi,True,10,True,10,identical
website/app/[locale]/modulome/testes/page.tsx,/fi/modulome/testes,"erotus steroidogeneesi, gamettien valmistus, kypsän siittiön toiminta",True,15,True,12,different
website/app/[locale]/biology/page.tsx,/fi/biology,biologiset luonnolliset kokeet keskeiseksi tutkimusyhteydeksi,True,29,True,29,different
website/app/[locale]/behavior/page.tsx,/fi/behavior#desire,"energiatila, halu ja toiminnalliset portit",True,22,True,22,identical
website/app/[locale]/model/biological-coordination/page.tsx,/fi/model/biological-coordination#functional-gates,ehdollinen sarjaportti ja vastaanoton tila,True,44,True,43,different
website/app/[locale]/evidence/page.tsx,/fi/evidence,lähdehakemisto ja tapauslinkit,True,112,True,112,different
website/app/[locale]/evidence/convergence/page.tsx,/fi/evidence/convergence,geeni–interventio–päätepiste-tutkimusketju,True,16,True,16,different
website/app/[locale]/evidence/response-conditions/page.tsx,/fi/evidence/response-conditions,evidenssikattojen täsmällinen uusjako,True,75,False,,published_only
website/app/[locale]/evidence/pharmacology/page.tsx,/fi/evidence/pharmacology,farmakologinen rescue ja geenikorjaus,True,229,True,225,different
website/app/[locale]/evidence/reproductive-navigation/page.tsx,/fi/evidence/reproductive-navigation,CatSper sisäänvirtaus/poistuma; PLCZ1 aktivaatio,True,140,True,140,identical
website/app/[locale]/evidence/reproductive-arc/page.tsx,/fi/evidence/reproductive-arc,koko lisääntymisjatkumon portit,True,13,True,13,different
website/app/[locale]/evidence/circadian/page.tsx,/fi/evidence/circadian,CRY/PER2/RAI1 vaihe ja signaalin ajoitus,True,16,True,15,different
website/app/[locale]/evidence/gut-brain-axis/page.tsx,/fi/evidence/gut-brain-axis,PER2-rytmi kudosesteen alavirrassa,True,14,True,14,identical
website/app/[locale]/evidence/cascades/page.tsx,/fi/evidence/cascades,KATP-kytkin ja multi-organ-kartta,True,70,True,70,different
website/app/[locale]/evidence/klimentidis-explained/page.tsx,/fi/evidence/klimentidis-explained,energiatila ja leptiinivajeen rescue,True,66,True,66,identical
website/app/[locale]/evidence/unbroken-chain/page.tsx,/fi/evidence/unbroken-chain,lähdekoe vs koko ketjun tulkinta,True,1,True,1,different
