parameter_name,value,unit,prior_or_range,evidence_grade,source_id,scope,active_model_version,defined_in,affects,notes
bio_capacity.a,6.5,births_per_woman,"[5.0, 7.0]",UNIDENTIFIED,BERM_SCENARIO_V17,all countries,v16;v17-asfr,berm/v16.py:473,R_reproductive,"Ceiling of the dose-response. Re-hardcoded at v16.py:1203, 1204 and 1384; editing one site silently desynchronises the others."
bio_capacity.b,0.010,per_exposure_unit,"[0.001, 0.05]",UNIDENTIFIED,BERM_SCENARIO_V17,all countries,v16;v17-asfr,berm/v16.py:473,R_reproductive,"The exposure-response slope: the single most consequential number in the model. No fit record, no CI, no source."
bio_capacity.threshold,5.0,cumulative_exposure_index,"[0, 20]",UNIDENTIFIED,BERM_SCENARIO_V17,all countries,v16;v17-asfr,berm/v16.py:473,R_reproductive,No-effect threshold below which cumulative exposure has no modelled effect.
gamma_cry,0.02,dimensionless,"[0, 0.1]",UNIDENTIFIED,BERM_SCENARIO_V17,all countries,v16;v17-asfr,berm/v16.py:412,R_reproductive,Cryptochrome pathway EMF sensitivity. No citation anywhere in the repository.
gamma_melatonin,0.015,dimensionless,"[0, 0.1]",UNIDENTIFIED,BERM_SCENARIO_V17,all countries,v16;v17-asfr,berm/v16.py:413,R_reproductive,No citation.
gamma_ovul_vgic,0.008,dimensionless,"[0, 0.1]",UNIDENTIFIED,BERM_SCENARIO_V17,all countries,v16;v17-asfr,berm/v16.py:414,R_reproductive,No citation.
gamma_motility,0.015,dimensionless,"[0, 0.1]",UNIDENTIFIED,BERM_SCENARIO_V17,all countries,v16;v17-asfr,berm/v16.py:415,R_reproductive,No citation. Candidate for calibration against a measured sperm-motility panel.
gamma_capacitation,0.005,dimensionless,"[0, 0.1]",UNIDENTIFIED,BERM_SCENARIO_V17,all countries,v16;v17-asfr,berm/v16.py:416,R_reproductive,No citation.
gamma_navigation,0.003,dimensionless,"[0, 0.1]",UNIDENTIFIED,BERM_SCENARIO_V17,all countries,v16;v17-asfr,berm/v16.py:417,R_reproductive,No citation.
floor.cry_effect,0.85,fraction,"[0.5, 1.0]",UNIDENTIFIED,BERM_SCENARIO_V17,all countries,v16;v17-asfr,berm/v16.py:438,R_reproductive,"Saturation floor. Floors of this kind determine the model's asymptote and therefore its long-horizon forecast; none of the four is documented."
floor.melatonin,0.90,fraction,"[0.5, 1.0]",UNIDENTIFIED,BERM_SCENARIO_V17,all countries,v16;v17-asfr,berm/v16.py:444,R_reproductive,See floor.cry_effect.
floor.ovulation_vgic,0.95,fraction,"[0.5, 1.0]",UNIDENTIFIED,BERM_SCENARIO_V17,all countries,v16;v17-asfr,berm/v16.py:452,R_reproductive,See floor.cry_effect.
floor.sperm_ca2,0.92,fraction,"[0.5, 1.0]",UNIDENTIFIED,BERM_SCENARIO_V17,all countries,v16;v17-asfr,berm/v16.py:465,R_reproductive,See floor.cry_effect.
alpha_eff,0.43,dimensionless,"[0.4, 0.45]",ESTIMATED,BERM_SCENARIO_V17,all countries,v16;v17-asfr,berm/config.py:99,cultural_rate,"Source comment: 'calibrated; raw layer sum = 0.425, rounded per v17 model'. Derived from RECOVERY_LAYERS, which are themselves assumptions."
recovery_layers.VGIC.alpha,1.0,per_year,"[0, 1]",SCENARIO,BERM_SCENARIO_V17,all countries,v16;v17-asfr,berm/config.py:92,E_developmental,Recovery rate of the voltage-gated ion channel layer. Assumed full annual recovery.
recovery_layers.ROS.alpha,0.8,per_year,"[0, 1]",SCENARIO,BERM_SCENARIO_V17,all countries,v16;v17-asfr,berm/config.py:93,E_developmental,
recovery_layers.DNA.alpha,0.1,per_year,"[0, 1]",SCENARIO,BERM_SCENARIO_V17,all countries,v16;v17-asfr,berm/config.py:94,E_developmental,Near-permanent layer; drives the model's irreversibility.
recovery_layers.Leydig.alpha,0.3,per_year,"[0, 1]",SCENARIO,BERM_SCENARIO_V17,all countries,v16;v17-asfr,berm/config.py:95,E_developmental,
